Station,Latitude,Longitude,Year,Ten-Meter Temperature (°C),Accumulation Rate (m/yr ice),"h_i (radar), m","h_i (seismics), m",Speed (m/yr),10^5 ε̇₁₁ (yr⁻¹),10^5 ε̇₂₂ (yr⁻¹)
I (BC),"82°32'19""S","166°00'48""W",1973,-27.6,,480,,352,70,-30
II (RI),"80°11'30""S","161°33'41""W",1974,-27.5,0.15,615,616,362,27,-6
III (C-16),"81°11'38""S","189°30'09""W",1976,-26.4,,356,356,480,142,-87
Q13,"78°57'27""S","180°04'39""W",1976,-27.1,0.16,328,336,965,116,-12
E5,"84°14'45""S","151°54'27""W",1973,-25.8,,783,,,,
E6,84°28'S,155°28'W,1973,,,733,,509,359,-103
E7,84°35.1'S,159°27'W,1973,-23.9,0.14,834,,484,218,-192
E8,84°36.0'S,163°46'W,1973,-22.5,0.18,859,828,449,256,-177
F6,83°58.7'S,157°49'W,1973,,0.06,,,473,204,-149
F7,"84°07'11""S","162°03'52""W",1973,-24.9,0.12,749,738,530,165,-22
F8,84°20.0'S,167°02'W,1973,,,,,497,18,-13
F9,"84°17'23""S","171°22'29""W",1973,-22.4,0.12,665,643,493,171,-31
F10,84°29.2'S,175°50'W,1973,,,,,81,258,-152
G4,"82°51'22""S","150°53'15""W",1973,-27.7,,657,657,,,
G5,"83°24'38""S","151°12'55""W",1973,-25.1,0.08,556,,0,4,-6
G6,"83°31'02""S","156°01'32""W",1973,-26.4,,606,577,,,
G7,83°44.8'S,162°02'W,1973,-25.4,0.11,,,,,
G8,"83°43'15""S","166°31'15""W",1973,,,665,655,384,543,-496
G9,83°49.1'S,170°31'W,1973,,0.11,,,450,90,-111
G10,"83°54'34""S","174°21'36""W",1976,,0.14,,,487,75,-14
G11,83°57.6'S,179°17'W,1973,,0.26,,,420,322,-311
H5,"82°35'26""S","153°14'50""W",1973,-27.3,0.05,631,653,9,56,-8
H6,"82°52'53""S","154°16'02""W",1973,-27.4+,0.06,657,,0,,
H7,"82°59'50""S","159°12'03""W",1973,-27.8,0.06,505,499,54,197,-129
H8,"83°12'34""S","163°28'37""W",1973,-26.5,0.12,539,,302,67,-43
H9,"83°20'51""S","167°25'27""W",1973,-25.9,0.14,606,627,348,270,-28
H10,"83°21'33""S","171°14'07""W",1973,-26.2,0.13,547,529,223,672,-668
H11,83°25.7'S,175°33'W,1973,,0.16,,,432,78,-3
H12,"83°42'25""S","183°08'46""W",1973,-24.6,0.30,412,411,272,488,-311
HE12,"83°27'54""S","180°13'55""W",1976,,0.19,,,500,153,-23
H13,"83°31'30""S","186°59'33""W",1976,-21.1,0.19,758,,345,416,-190
I5,"82°04'39""S","153°40'04""W",1973,-27.0,0.10,530,530,6,0,-3
I6,82°21.4'S,156°32'W,1973,,0.07,547,545,0,,
I7,82°44.1'S,161°53'W,1973,-27.4,0.07,505,509,178,440,-373
I8,"82°44'18""S","164°03'11""W",1973,-26.7,0.03,471,,320,121,-113
I9,82°53.4'S,167°48'W,1973,-26.1,0.14,463,,340,59,-3
I10,82°56.3'S,173°19'W,1973,,0.10,,,0,32,-3
I11,"82°54'05""S","176°31'30""W",1973,,0.16,488,,447,171,-78
I12,"82°54'48""S","179°49'09""W",1976,-25.7,0.22,,681,501,84,38
I13,"82°52'51""S","184°10'44""W",1976,-24.8,0.16,,460,511,172,-120
I14,"82°53'21""S","188°00'17""W",1976,-24.9,0.22,395,,395,97,-16
I15,"82°45'34""S","192°11'35""W",1976,-25.5,0.16,298,,135,396,-124
J4,"81°34'38""S","151°43'48""W",1974,-24.5,0.12,876,863,0,1,
J6,"81°56'41""S","158°34'39""W",1973,-28.5,0.09,539,533,6,79,-29
J7,82°15.6'S,163°17'W,1973,,0.09,,,188,278,-78
J8,"82°14'01""S","165°02'50""W",1973,-27.7,0.08,471,,265,269,-116
J9,"82°22'28""S","168°38'44""W",1973,-27.6,0.09,421,,370,44,23
J10,"82°27'40""S","172°31'23""W",1973,-25.9,0.13,320,,388,201,-24
J11,82°34.2'S,176°17'W,1973,,0.11,,,468,124,-15
J12,82°22.4'S,180°18'W,1976,,0.14,,389,532,53,24
J13,"82°27'07""S","183°29'39""W",1976,-25.4,0.15,383,,507,131,-7
