A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB
1,3974,309,4078,370,3732,1349,2726,1024,1594,2729,19.27,1.66,20.8,-1.28,15.7,-48.34,0.87,-32.72
2,6992,306,7089,350,6582,1333,5737,1024,1594,2729,19.41,1.8,20.84,-0.32,13.37,-47.57,0.92,-32.72
3,9991,303,10085,296,9766,1333,8743,1027,1594,2729,19.27,1.94,20.65,2.28,15.95,-47.57,0.87,-32.86
4,13022,306,13109,299,12364,1313,11767,1024,1594,2729,19.31,1.8,20.59,2.14,9.61,-46.61,0.81,-32.72
5,16040,303,16131,306,15134,1266,14789,1024,1594,2729,19.31,1.94,20.65,1.8,5.96,-44.35,0.87,-32.72
6,19041,306,19129,303,18414,1282,17790,1031,1594,2729,19.35,1.8,20.65,1.94,10.11,-45.12,0.92,-33.05
7,22059,313,22150,293,21412,1302,20811,1024,1594,2729,19.35,1.46,20.7,2.42,9.82,-46.08,0.96,-32.72
8,25030,309,25118,306,24655,1313,23836,1031,1594,2729,18.51,1.66,19.81,1.8,12.99,-46.61,0.92,-33.05
9,28036,306,28117,306,27389,1319,26782,1027,1594,2729,19.35,1.8,20.55,1.8,9.82,-46.9,0.87,-32.86
10,31051,306,31132,296,30799,1339,29800,1027,1594,2729,19.31,1.8,20.5,2.28,15.6,-47.86,0.87,-32.86
11,34077,306,34161,296,33812,1349,32825,1021,1594,2729,19.41,1.8,20.65,2.28,15.51,-48.34,0.96,-32.57
12,37080,303,37161,296,36278,1289,35832,1024,1594,2729,21.39,1.94,22.58,2.28,9.57,-45.46,2.99,-32.72
