A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,Filename
1,1958,385,2553,851,1803,1352,1369,963,1513,1372,9.07,-4.64,17.79,-27.41,6.8,-51.9,0.43,-32.88,47_0004250_0004274-reel_begin_end.tiff
2,4985,343,5586,962,4844,1351,4402,962,1513,1372,9.02,-2.58,17.84,-32.84,6.96,-51.85,0.48,-32.84,47_0004250_0004274-reel_begin_end.tiff
3,7987,352,8598,875,7862,1353,7406,963,1513,1372,8.91,-3.02,17.87,-28.58,7.07,-51.94,0.39,-32.88,47_0004250_0004274-reel_begin_end.tiff
4,11002,322,11597,894,10863,1352,10426,960,1513,1372,8.83,-1.56,17.56,-29.51,6.8,-51.9,0.39,-32.74,47_0004250_0004274-reel_begin_end.tiff
5,14035,374,14613,1070,13895,1352,13456,961,1513,1372,8.88,-4.1,17.35,-38.11,6.82,-51.9,0.39,-32.79,47_0004250_0004274-reel_begin_end.tiff
6,17039,391,,,16911,1352,16466,963,1513,1372,8.79,-4.93,,,6.91,-51.9,0.39,-32.88,47_0004250_0004274-reel_begin_end.tiff
7,20055,324,,,19913,1355,19484,962,1513,1372,8.88,-1.65,,,6.8,-52.04,0.51,-32.84,47_0004250_0004274-reel_begin_end.tiff
8,23081,350,,,22961,1349,22516,960,1513,1372,8.67,-2.93,,,6.91,-51.75,0.39,-32.74,47_0004250_0004274-reel_begin_end.tiff
9,26091,320,26710,774,25971,1355,25523,965,1513,1372,8.67,-1.46,17.75,-23.65,6.91,-52.04,0.34,-32.98,47_0004250_0004274-reel_begin_end.tiff
10,29107,346,29735,753,28968,1351,28534,962,1513,1372,8.75,-2.73,17.95,-22.62,6.71,-51.85,0.34,-32.84,47_0004250_0004274-reel_begin_end.tiff
11,32129,348,32751,859,32006,1352,31564,962,1513,1372,8.63,-2.83,17.75,-27.8,6.82,-51.9,0.34,-32.84,47_0004250_0004274-reel_begin_end.tiff
12,35155,363,35768,770,35016,1353,34587,962,1513,1372,8.72,-3.56,17.7,-23.45,6.68,-51.94,0.39,-32.84,47_0004250_0004274-reel_begin_end.tiff
