A-scope Number,x_surface_px,y_surface_px,x_bed_px,y_bed_px,x_noisefloor_px,y_noisefloor_px,x_mainbang_px,y_mainbang_px,reference_line_y,reference_line_x,surface_us,surface_dB,bed_us,bed_dB,noisefloor_us,noisefloor_dB,mainbang_us,mainbang_dB,FLT,filename,CBD,LAT,LON
1,1208,643,1772,789,1046,1538,655,1238,1596,651,8.9,-13.01,17.27,-20.16,6.49,-56.85,0.69,-42.15,137,44_0007600_0007624-reel_begin_end,1082,-80.185806,-122.069
2,4237,625,4804,821,4075,1537,3669,1234,1596,651,9.03,-12.13,17.45,-21.73,6.63,-56.8,0.6,-41.96,137,44_0007600_0007624-reel_begin_end,1083,-80.167892,-122.087006
3,7264,629,7834,825,7102,1537,6699,1233,1596,651,8.99,-12.32,17.45,-21.92,6.58,-56.8,0.6,-41.91,137,44_0007600_0007624-reel_begin_end,1084,-80.148697,-122.110397
4,10274,639,10841,911,10112,1538,9709,1234,1596,651,8.99,-12.81,17.4,-26.14,6.58,-56.85,0.6,-41.96,137,44_0007600_0007624-reel_begin_end,1085,-80.128006,-122.121399
5,13297,635,13864,833,13132,1537,12729,1232,1596,651,9.03,-12.62,17.45,-22.31,6.58,-56.8,0.6,-41.86,137,44_0007600_0007624-reel_begin_end,1086,-80.110107,-122.151703
6,16327,634,16903,817,16180,1536,15768,1235,1596,651,9.03,-12.57,17.58,-21.53,6.85,-56.75,0.74,-42.0,137,44_0007600_0007624-reel_begin_end,1087,-80.0896,-122.197296
7,19334,622,19910,782,19172,1538,18769,1232,1596,651,8.99,-11.98,17.53,-19.82,6.58,-56.85,0.6,-41.86,137,44_0007600_0007624-reel_begin_end,1088,-80.071701,-122.235901
8,22354,629,22924,759,22195,1535,21780,1242,1596,651,8.99,-12.32,17.45,-18.69,6.63,-56.7,0.47,-42.35,137,44_0007600_0007624-reel_begin_end,1089,-80.055206,-122.268997
9,25387,638,25960,813,25225,1538,24816,1235,1596,651,9.03,-12.76,17.53,-21.34,6.63,-56.85,0.56,-42.0,137,44_0007600_0007624-reel_begin_end,1090,-80.037292,-122.307693
10,28400,636,28970,827,28238,1536,27832,1233,1596,651,9.08,-12.67,17.53,-22.02,6.67,-56.75,0.65,-41.91,137,44_0007600_0007624-reel_begin_end,1091,-80.018097,-122.335297
11,31411,639,31975,788,31261,1537,30846,1233,1596,651,8.94,-12.81,17.31,-20.11,6.72,-56.8,0.56,-41.91,137,44_0007600_0007624-reel_begin_end,1092,-80.000198,-122.365601
12,34450,610,35008,842,34294,1538,33876,1233,1596,651,9.08,-11.39,17.36,-22.76,6.76,-56.85,0.56,-41.91,137,44_0007600_0007624-reel_begin_end,1093,-79.980896,-122.384903
1,2724,627,3287,844,2561,1537,2154,1230,1594,2155,8.78,-12.14,16.93,-22.84,6.42,-57.01,0.56,-41.87,137,44_0007625_0007649-reel_begin_end,1070,-80.414001,-121.759995
2,5752,627,6301,901,5589,1532,5181,1229,1594,2155,8.78,-12.14,16.73,-25.65,6.42,-56.76,0.52,-41.82,137,44_0007625_0007649-reel_begin_end,1071,-80.394699,-121.797394
3,8777,635,9321,849,8614,1537,8209,1232,1594,2155,8.67,-12.53,16.54,-23.08,6.31,-57.01,0.45,-41.97,137,44_0007625_0007649-reel_begin_end,1072,-80.376801,-121.819397
